Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation_date,report_date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
352249,Influenza - Avian,;H5 HPAI;,-33.89367,-60.69711,PERGAMINO,Argentina,Americas,2023-04-21T00:00:00Z,2023-04-28T00:00:00Z,"Domestic,Chicken,",OIE,,,Confirmed
351926,Influenza - Avian,;H5 HPAI;,-34.50528,-58.88417,Pilar,Argentina,Americas,2023-04-23T00:00:00Z,2023-04-25T00:00:00Z,"Domestic,Chicken,",National authorities,,,Confirmed
350074,Influenza - Avian,;H5 HPAI;,-35.95611,-58.73683,General Belgrano,Argentina,Americas,2023-03-24T00:00:00Z,2023-04-01T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
350022,Influenza - Avian,;H5 HPAI;,-35.08456,-59.03253,Lobos,Argentina,Americas,2023-03-28T00:00:00Z,2023-04-01T00:00:00Z,"Domestic,Chicken,",OIE,,,Confirmed
353170,Influenza - Avian,;H5 HPAI;,-34.49607,-58.89526,Pilar,Argentina,Americas,2023-05-03T00:00:00Z,2023-05-12T00:00:00Z,"Domestic,Chicken,",OIE,,,Confirmed
347776,Influenza - Avian,;H5 HPAI;,-36.66629,-59.22199,RAUCH,Argentina,Americas,2023-02-20T00:00:00Z,2023-03-09T00:00:00Z,"Domestic,Chicken,",OIE,,,Confirmed
348549,Influenza - Avian,;H5 HPAI;,-36.27949,-57.39065,GENERAL CONESA BUENOS AIRES- TRASPATIO - GENERAL CONESA,Argentina,Americas,2023-03-11T00:00:00Z,2023-03-20T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
346064,Influenza - Avian,;H5 HPAI;,-36.47324,-57.34909,General Conesa,Argentina,Americas,2023-03-07T00:00:00Z,2023-03-14T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
346194,Influenza - Avian,;H5 HPAI;,-38.15595,-59.64585,San Cayetano,Argentina,Americas,2023-02-23T00:00:00Z,2023-02-25T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
347784,Influenza - Avian,;H5 HPAI;,-38.78775,-62.26203,BAHIA BLANCA,Argentina,Americas,2023-02-28T00:00:00Z,2023-03-09T00:00:00Z,"Wild,Anatidae (incognita),",OIE,,,Confirmed
